timestamp,right_drive,left_drive,right_motor,left_motor,current_location
2025-10-28T16:04:10.655443,0,0,0,0,1
2025-10-28T16:04:10.655443,-550,550,45,45,1
2025-10-28T16:04:10.655443,0,0,0,0,1
2025-10-28T16:04:10.655443,-550,550,45,45,1
2025-10-28T16:04:10.655443,0,0,0,0,1
2025-10-28T16:04:10.655443,0,0,0,0,2
2025-10-28T16:04:10.655443,550,-550,45,45,2
2025-10-28T16:04:10.655443,0,0,0,0,3
2025-10-28T16:04:10.655443,550,-550,45,45,3
2025-10-28T16:04:10.655443,0,0,0,0,4
2025-10-28T16:04:10.655443,1100,-1100,45,45,4
2025-10-28T16:04:10.655443,0,0,0,0,4
2025-10-28T16:04:10.655443,0,0,0,0,1
